,post,likes,sponsored,nPost,followers,followees,nIgtv,business,verified,day,month,hour_of_day,category
12718,2021-11-30_18-54-43_UTC,59,1,3806,18454,1947,4,1,0,Tuesday,8,17.0,Creators & Celebrities
12719,2021-11-30_16-04-20_UTC,128,0,3806,18454,1947,4,1,0,Monday,8,23.0,Creators & Celebrities
12720,2021-11-29_16-06-44_UTC,230,0,3806,18454,1947,4,1,0,Monday,8,16.0,Creators & Celebrities
12721,2021-11-27_15-57-29_UTC,137,0,3806,18454,1947,4,1,0,Monday,8,0.0,Creators & Celebrities
12722,2021-11-26_17-33-02_UTC,168,0,3806,18454,1947,4,1,0,Saturday,7,18.0,Creators & Celebrities
12723,2021-11-25_17-49-36_UTC,250,0,3806,18454,1947,4,1,0,Friday,7,16.0,Creators & Celebrities
12724,2021-11-24_15-14-59_UTC,139,0,3806,18454,1947,4,1,0,Thursday,7,22.0,Creators & Celebrities
12725,2021-11-23_15-52-31_UTC,515,0,3806,18454,1947,4,1,0,Thursday,7,16.0,Creators & Celebrities
12726,2021-11-22_23-08-06_UTC,25,1,3806,18454,1947,4,1,0,Wednesday,7,15.0,Creators & Celebrities
12728,2021-11-21_22-09-03_UTC,111,0,3806,18454,1947,4,1,0,Monday,7,18.0,Creators & Celebrities
12729,2021-11-20_14-55-45_UTC,67,1,3806,18454,1947,4,1,0,Monday,7,0.0,Creators & Celebrities
12731,2021-11-19_01-18-04_UTC,28,1,3806,18454,1947,4,1,0,Friday,7,22.0,Creators & Celebrities
12732,2021-11-18_16-20-30_UTC,169,0,3806,18454,1947,4,1,0,Friday,7,16.0,Creators & Celebrities
12733,2021-11-17_16-03-30_UTC,78,0,3806,18454,1947,4,1,0,Thursday,7,17.0,Creators & Celebrities
12735,2021-11-15_16-07-14_UTC,126,0,3806,18454,1947,4,1,0,Tuesday,7,17.0,Creators & Celebrities
12736,2021-11-14_22-45-14_UTC,245,0,3806,18454,1947,4,1,0,Monday,7,16.0,Creators & Celebrities
12737,2021-11-13_14-01-04_UTC,91,0,3806,18454,1947,4,1,0,Sunday,7,15.0,Creators & Celebrities
12740,2021-11-11_15-37-25_UTC,132,0,3806,18454,1947,4,1,0,Thursday,7,17.0,Creators & Celebrities
12741,2021-11-10_16-53-05_UTC,55,1,3806,18454,1947,4,1,0,Wednesday,7,23.0,Creators & Celebrities
12742,2021-11-09_15-52-03_UTC,242,0,3806,18454,1947,4,1,0,Wednesday,7,17.0,Creators & Celebrities
12745,2021-11-05_16-34-24_UTC,72,0,3806,18454,1947,4,1,0,Monday,7,22.0,Creators & Celebrities
12746,2021-11-04_16-08-29_UTC,145,0,3806,18454,1947,4,1,0,Monday,7,17.0,Creators & Celebrities
12747,2021-11-03_16-29-34_UTC,94,1,3806,18454,1947,4,1,0,Saturday,7,17.0,Creators & Celebrities
12748,2021-11-02_18-27-34_UTC,58,1,3806,18454,1947,4,1,0,Friday,7,17.0,Creators & Celebrities
12749,2021-11-01_16-23-57_UTC,112,0,3806,18454,1947,4,1,0,Thursday,7,22.0,Creators & Celebrities
12750,2021-10-29_21-51-28_UTC,112,0,3806,18454,1947,4,1,0,Thursday,7,17.0,Creators & Celebrities
12751,2021-10-28_21-02-24_UTC,50,1,3806,18454,1947,4,1,0,Thursday,7,1.0,Creators & Celebrities
12752,2021-10-28_15-54-39_UTC,119,0,3806,18454,1947,4,1,0,Wednesday,7,17.0,Creators & Celebrities
12753,2021-10-27_15-51-51_UTC,247,0,3806,18454,1947,4,1,0,Tuesday,7,22.0,Creators & Celebrities
12754,2021-10-26_15-38-19_UTC,525,0,3806,18454,1947,4,1,0,Tuesday,7,17.0,Creators & Celebrities
12757,2021-10-23_19-18-08_UTC,111,0,3806,18454,1947,4,1,0,Saturday,7,18.0,Creators & Celebrities
12759,2021-10-21_21-24-11_UTC,75,0,3806,18454,1947,4,1,0,Thursday,7,22.0,Creators & Celebrities
12762,2021-10-19_19-34-44_UTC,108,0,3806,18454,1947,4,1,0,Tuesday,6,0.0,Creators & Celebrities
12763,2021-10-19_15-27-39_UTC,166,0,3806,18454,1947,4,1,0,Monday,6,17.0,Creators & Celebrities
12764,2021-10-18_16-14-02_UTC,114,0,3806,18454,1947,4,1,0,Sunday,6,22.0,Creators & Celebrities
12765,2021-10-17_21-41-56_UTC,90,0,3806,18454,1947,4,1,0,Saturday,6,17.0,Creators & Celebrities
12766,2021-10-16_16-16-55_UTC,166,0,3806,18454,1947,4,1,0,Friday,6,18.0,Creators & Celebrities
12768,2021-10-14_21-50-01_UTC,34,1,3806,18454,1947,4,1,0,Thursday,6,15.0,Creators & Celebrities
12769,2021-10-14_15-42-46_UTC,129,0,3806,18454,1947,4,1,0,Wednesday,6,20.0,Creators & Celebrities
12770,2021-10-13_15-37-49_UTC,281,0,3806,18454,1947,4,1,0,Wednesday,6,16.0,Creators & Celebrities
12771,2021-10-12_20-39-04_UTC,84,0,3806,18454,1947,4,1,0,Tuesday,6,20.0,Creators & Celebrities
12772,2021-10-12_15-12-12_UTC,129,0,3806,18454,1947,4,1,0,Tuesday,6,16.0,Creators & Celebrities
